Diagnosis	Sample	cd8_subcluster	.n	.frac
Colitis	C1	s1	71	0.0338256312529776
Colitis	C1	s2	200	0.0952834683182468
Colitis	C1	s3	127	0.0605050023820867
Colitis	C1	s4	1315	0.626488804192473
Colitis	C1	s5	170	0.0809909480705098
Colitis	C1	s6	154	0.07336827060505
Colitis	C1	s7	39	0.0185802763220581
Colitis	C1	s8	8	0.00381133873272987
Colitis	C1	s9	15	0.00714626012386851
Colitis	C2	s1	70	0.0288540807914262
Colitis	C2	s2	73	0.0300906842539159
Colitis	C2	s3	271	0.111706512778236
Colitis	C2	s4	1315	0.54204451772465
Colitis	C2	s5	367	0.151277823577906
Colitis	C2	s6	259	0.106760098928277
Colitis	C2	s7	42	0.0173124484748557
Colitis	C2	s8	22	0.0090684253915911
Colitis	C2	s9	7	0.00288540807914262
Colitis	C3	s1	187	0.074235807860262
Colitis	C3	s2	346	0.137356093687971
Colitis	C3	s3	274	0.108773322747122
Colitis	C3	s4	151	0.0599444223898372
Colitis	C3	s5	222	0.0881302104009528
Colitis	C3	s6	277	0.109964271536324
Colitis	C3	s7	1024	0.406510520047638
Colitis	C3	s8	5	0.00198491464867011
Colitis	C3	s9	33	0.0131004366812227
Colitis	C4	s1	124	0.107359307359307
Colitis	C4	s2	310	0.268398268398268
Colitis	C4	s3	276	0.238961038961039
Colitis	C4	s4	65	0.0562770562770563
Colitis	C4	s5	192	0.166233766233766
Colitis	C4	s6	138	0.119480519480519
Colitis	C4	s7	17	0.0147186147186147
Colitis	C4	s8	10	0.00865800865800866
Colitis	C4	s9	23	0.0199134199134199
Colitis	C5	s1	126	0.0476010578012845
Colitis	C5	s2	48	0.0181337363052512
Colitis	C5	s3	251	0.0948243294295429
Colitis	C5	s4	1861	0.703060068001511
Colitis	C5	s5	142	0.0536456365697015
Colitis	C5	s6	120	0.0453343407631281
Colitis	C5	s7	33	0.0124669437098602
Colitis	C5	s8	49	0.0185115224782773
Colitis	C5	s9	17	0.00642236494144314
Colitis	C6	s1	345	0.263761467889908
Colitis	C6	s2	85	0.0649847094801223
Colitis	C6	s3	483	0.369266055045872
Colitis	C6	s4	33	0.0252293577981651
Colitis	C6	s5	123	0.0940366972477064
Colitis	C6	s6	114	0.0871559633027523
Colitis	C6	s7	9	0.00688073394495413
Colitis	C6	s8	31	0.0237003058103976
Colitis	C6	s9	85	0.0649847094801223
Colitis	C7	s1	361	0.284700315457413
Colitis	C7	s2	108	0.0851735015772871
Colitis	C7	s3	271	0.213722397476341
Colitis	C7	s4	96	0.0757097791798107
Colitis	C7	s5	147	0.115930599369085
Colitis	C7	s6	173	0.136435331230284
Colitis	C7	s7	48	0.0378548895899054
Colitis	C7	s8	27	0.0212933753943218
Colitis	C7	s9	37	0.029179810725552
Colitis	C8	s1	37	0.0377936670071502
Colitis	C8	s2	11	0.0112359550561798
Colitis	C8	s3	184	0.187946884576098
Colitis	C8	s4	175	0.178753830439224
Colitis	C8	s5	253	0.258426966292135
Colitis	C8	s6	185	0.188968335035751
Colitis	C8	s7	121	0.123595505617978
Colitis	C8	s8	4	0.00408580183861083
Colitis	C8	s9	9	0.00919305413687436
Control	CT1	s1	381	0.25131926121372
Control	CT1	s2	823	0.54287598944591
Control	CT1	s3	183	0.120712401055409
Control	CT1	s4	10	0.00659630606860158
Control	CT1	s5	15	0.00989445910290238
Control	CT1	s6	15	0.00989445910290238
Control	CT1	s7	1	0.000659630606860158
Control	CT1	s8	49	0.0323218997361478
Control	CT1	s9	39	0.0257255936675462
Control	CT2	s1	286	0.389645776566757
Control	CT2	s2	211	0.287465940054496
Control	CT2	s3	102	0.138964577656676
Control	CT2	s4	2	0.00272479564032698
Control	CT2	s5	11	0.0149863760217984
Control	CT2	s6	30	0.0408719346049046
Control	CT2	s8	67	0.0912806539509537
Control	CT2	s9	25	0.0340599455040872
Control	CT3	s1	611	0.487629688747007
Control	CT3	s2	132	0.105347166799681
Control	CT3	s3	421	0.335993615323224
Control	CT3	s4	2	0.00159616919393456
Control	CT3	s5	5	0.00399042298483639
Control	CT3	s6	13	0.0103750997605746
Control	CT3	s8	24	0.0191540303272147
Control	CT3	s9	45	0.0359138068635275
Control	CT4	s1	420	0.395852968897267
Control	CT4	s2	218	0.205466540999058
Control	CT4	s3	336	0.316682375117813
Control	CT4	s4	35	0.0329877474081056
Control	CT4	s5	6	0.0056550424128181
Control	CT4	s6	6	0.0056550424128181
Control	CT4	s8	21	0.0197926484448633
Control	CT4	s9	19	0.0179076343072573
Control	CT5	s1	407	0.347863247863248
Control	CT5	s2	512	0.437606837606838
Control	CT5	s3	216	0.184615384615385
Control	CT5	s5	10	0.00854700854700855
Control	CT5	s6	16	0.0136752136752137
Control	CT5	s8	3	0.00256410256410256
Control	CT5	s9	6	0.00512820512820513
Control	CT6	s1	703	0.548790007806401
Control	CT6	s2	344	0.268540202966432
Control	CT6	s3	147	0.114754098360656
