treg_subcluster	Sample	.n	.frac
s1	C1	30	0.019672131147541
s1	C2	16	0.0104918032786885
s1	C3	55	0.0360655737704918
s1	C4	50	0.0327868852459016
s1	C5	32	0.020983606557377
s1	C6	72	0.0472131147540984
s1	C7	140	0.0918032786885246
s1	C8	53	0.0347540983606557
s1	CT1	138	0.0904918032786885
s1	CT2	94	0.0616393442622951
s1	CT3	92	0.060327868852459
s1	CT4	82	0.0537704918032787
s1	CT5	80	0.0524590163934426
s1	CT6	54	0.0354098360655738
s1	CT7	69	0.0452459016393443
s1	CT8	82	0.0537704918032787
s1	NC1	81	0.0531147540983607
s1	NC2	70	0.0459016393442623
s1	NC3	65	0.0426229508196721
s1	NC4	40	0.0262295081967213
s1	NC5	77	0.0504918032786885
s1	NC6	53	0.0347540983606557
s2	C1	85	0.0597329585382994
s2	C2	314	0.220660576247365
s2	C3	93	0.0653548840477864
s2	C4	202	0.141953619114547
s2	C5	214	0.150386507378777
s2	C6	37	0.0260014054813774
s2	C7	77	0.0541110330288124
s2	C8	189	0.13281799016163
s2	CT1	7	0.00491918482080112
s2	CT2	14	0.00983836964160225
s2	CT3	8	0.005621925509487
s2	CT4	18	0.0126493323963457
s2	CT5	3	0.00210822206605762
s2	CT6	3	0.00210822206605762
s2	CT7	5	0.00351370344342937
s2	CT8	11	0.00773014757554462
s2	NC1	39	0.0274068868587491
s2	NC2	12	0.0084328882642305
s2	NC3	19	0.0133520730850316
s2	NC4	21	0.0147575544624034
s2	NC5	12	0.0084328882642305
s2	NC6	40	0.028109627547435
s3	C1	17	0.0253353204172876
s3	C2	22	0.0327868852459016
s3	C3	14	0.0208643815201192
s3	C4	26	0.0387481371087928
s3	C5	23	0.0342771982116244
s3	C6	15	0.022354694485842
s3	C7	37	0.0551415797317437
s3	C8	9	0.0134128166915052
s3	CT1	20	0.029806259314456
s3	CT2	77	0.114754098360656
s3	CT3	22	0.0327868852459016
s3	CT4	72	0.107302533532042
s3	CT5	62	0.0923994038748137
s3	CT6	35	0.0521609538002981
s3	CT7	28	0.0417287630402385
s3	CT8	44	0.0655737704918033
s3	NC1	24	0.0357675111773472
s3	NC2	26	0.0387481371087928
s3	NC3	41	0.0611028315946349
s3	NC4	25	0.03725782414307
s3	NC5	18	0.0268256333830104
s3	NC6	14	0.0208643815201192
s4	C1	14	0.0268199233716475
s4	C2	34	0.0651340996168582
s4	C3	41	0.078544061302682
s4	C4	48	0.0919540229885057
s4	C5	38	0.0727969348659004
s4	C6	18	0.0344827586206897
s4	C7	114	0.218390804597701
s4	C8	53	0.101532567049808
s4	CT1	22	0.0421455938697318
s4	CT2	9	0.0172413793103448
s4	CT3	7	0.0134099616858238
s4	CT4	19	0.0363984674329502
s4	CT5	12	0.0229885057471264
s4	CT6	4	0.00766283524904215
s4	CT7	3	0.00574712643678161
s4	CT8	7	0.0134099616858238
s4	NC1	26	0.0498084291187739
s4	NC2	5	0.00957854406130268
s4	NC3	9	0.0172413793103448
s4	NC4	11	0.0210727969348659
s4	NC5	7	0.0134099616858238
s4	NC6	21	0.0402298850574713
s5	C1	15	0.0293542074363992
s5	C2	13	0.025440313111546
s5	C3	26	0.050880626223092
s5	C4	20	0.0391389432485323
s5	C5	15	0.0293542074363992
s5	C6	9	0.0176125244618395
s5	C7	6	0.0117416829745597
s5	C8	22	0.0430528375733855
s5	CT1	32	0.0626223091976517
s5	CT2	38	0.0743639921722113
s5	CT3	24	0.0469667318982387
s5	CT4	66	0.129158512720157
s5	CT5	14	0.0273972602739726
s5	CT6	22	0.0430528375733855
s5	CT7	10	0.0195694716242661
s5	CT8	28	0.0547945205479452
s5	NC1	64	0.125244618395303
s5	NC2	17	0.0332681017612524
s5	NC3	26	0.050880626223092
s5	NC4	4	0.00782778864970646
s5	NC5	21	0.0410958904109589
s5	NC6	19	0.0371819960861057
