cd8_subcluster	Sample	.n	.frac
s1	C1	71	0.00831966252636513
s1	C2	70	0.00820248418092337
s1	C3	187	0.0219123505976096
s1	C4	124	0.0145301148347785
s1	C5	126	0.0147644715256621
s1	C6	345	0.040426529177408
s1	C7	361	0.0423013827044762
s1	C8	37	0.00433559878134521
s1	CT1	381	0.0446449496133115
s1	CT2	286	0.033513006796344
s1	CT3	611	0.0715959690649168
s1	CT4	420	0.0492149050855402
s1	CT5	407	0.0476915865947973
s1	CT6	703	0.0823763768455589
s1	CT7	751	0.0880009374267635
s1	CT8	440	0.0515584719943754
s1	NC1	160	0.018748535270682
s1	NC2	359	0.0420670260135927
s1	NC3	301	0.0352706819779705
s1	NC4	919	0.10768689946098
s1	NC5	764	0.0895242559175064
s1	NC6	711	0.083313803609093
s2	C1	200	0.0311332503113325
s2	C2	73	0.0113636363636364
s2	C3	346	0.0538605230386052
s2	C4	310	0.0482565379825654
s2	C5	48	0.0074719800747198
s2	C6	85	0.0132316313823163
s2	C7	108	0.0168119551681196
s2	C8	11	0.00171232876712329
s2	CT1	823	0.128113325031133
s2	CT2	211	0.0328455790784558
s2	CT3	132	0.0205479452054795
s2	CT4	218	0.0339352428393524
s2	CT5	512	0.0797011207970112
s2	CT6	344	0.0535491905354919
s2	CT7	727	0.113169364881694
s2	CT8	207	0.0322229140722291
s2	NC1	177	0.0275529265255293
s2	NC2	419	0.0652241594022416
s2	NC3	365	0.0568181818181818
s2	NC4	193	0.0300435865504359
s2	NC5	204	0.0317559153175592
s2	NC6	711	0.110678704856787
s3	C1	127	0.0242551566080978
s3	C2	271	0.0517570664629488
s3	C3	274	0.0523300229182582
s3	C4	276	0.0527119938884645
s3	C5	251	0.0479373567608862
s3	C6	483	0.0922459893048128
s3	C7	271	0.0517570664629488
s3	C8	184	0.0351413292589763
s3	CT1	183	0.0349503437738732
s3	CT2	102	0.0194805194805195
s3	CT3	421	0.0804048892284186
s3	CT4	336	0.0641711229946524
s3	CT5	216	0.0412528647822765
s3	CT6	147	0.0280748663101604
s3	CT7	306	0.0584415584415584
s3	CT8	125	0.0238731856378915
s3	NC1	95	0.0181436210847976
s3	NC2	391	0.0746753246753247
s3	NC3	106	0.020244461420932
s3	NC4	269	0.0513750954927426
s3	NC5	200	0.0381970970206264
s3	NC6	202	0.0385790679908327
s4	C1	1315	0.256936303243454
s4	C2	1315	0.256936303243454
s4	C3	151	0.0295037123876514
s4	C4	65	0.0127002735443533
s4	C5	1861	0.363618601016022
s4	C6	33	0.00644783118405627
s4	C7	96	0.018757327080891
s4	C8	175	0.0341930441578742
s4	CT1	10	0.00195388823759281
s4	CT2	2	0.000390777647518562
s4	CT3	2	0.000390777647518562
s4	CT4	35	0.00683860883157483
s4	CT7	1	0.000195388823759281
s4	CT8	1	0.000195388823759281
s4	NC1	7	0.00136772176631497
s4	NC2	4	0.000781555295037124
s4	NC4	4	0.000781555295037124
s4	NC5	14	0.00273544353262993
s4	NC6	27	0.00527549824150059
s5	C1	170	0.0949720670391061
s5	C2	367	0.205027932960894
s5	C3	222	0.124022346368715
s5	C4	192	0.107262569832402
s5	C5	142	0.0793296089385475
s5	C6	123	0.0687150837988827
s5	C7	147	0.082122905027933
s5	C8	253	0.141340782122905
s5	CT1	15	0.00837988826815642
s5	CT2	11	0.00614525139664804
s5	CT3	5	0.00279329608938547
s5	CT4	6	0.00335195530726257
s5	CT5	10	0.00558659217877095
s5	CT6	3	0.00167597765363128
s5	CT7	7	0.00391061452513967
s5	CT8	6	0.00335195530726257
s5	NC1	22	0.0122905027932961
s5	NC2	12	0.00670391061452514
s5	NC3	18	0.0100558659217877
s5	NC4	4	0.00223463687150838
s5	NC5	18	0.0100558659217877
s5	NC6	37	0.0206703910614525
s6	C1	154	0.0886586067933218
s6	C2	259	0.149107656879678
s6	C3	277	0.159470351180196
s6	C4	138	0.079447322970639
s6	C5	120	0.0690846286701209
s6	C6	114	0.0656303972366149
s6	C7	173	0.0995970063327576
s6	C8	185	0.10650546919977
s6	CT1	15	0.00863557858376511
s6	CT2	30	0.0172711571675302
s6	CT3	13	0.00748416810592976
s6	CT4	6	0.00345423143350604
s6	CT5	16	0.00921128382268279
s6	CT6	3	0.00172711571675302
s6	CT7	25	0.0143926309729419
s6	CT8	21	0.0120898100172712
s6	NC1	25	0.0143926309729419
s6	NC2	33	0.0189982728842832
s6	NC3	52	0.0299366724237191
s6	NC4	11	0.00633275762809442
s6	NC5	35	0.0201496833621186
s6	NC6	32	0.0184225676453656
s7	C1	39	0.029126213592233
s7	C2	42	0.0313666915608663
s7	C3	1024	0.764749813293503
s7	C4	17	0.0126960418222554
s7	C5	33	0.0246452576549664
s7	C6	9	0.00672143390589993
s7	C7	48	0.0358476474981329
s7	C8	121	0.0903659447348768
s7	CT1	1	0.000746825989544436
s7	NC1	1	0.000746825989544436
s7	NC4	2	0.00149365197908887
s7	NC6	2	0.00149365197908887
s8	C1	8	0.0113636363636364
s8	C2	22	0.03125
s8	C3	5	0.00710227272727273
s8	C4	10	0.0142045454545455
s8	C5	49	0.0696022727272727
s8	C6	31	0.0440340909090909
s8	C7	27	0.0383522727272727
s8	C8	4	0.00568181818181818
s8	CT1	49	0.0696022727272727
s8	CT2	67	0.0951704545454545
s8	CT3	24	0.0340909090909091
s8	CT4	21	0.0298295454545455
s8	CT5	3	0.00426136363636364
s8	CT6	30	0.0426136363636364
s8	CT7	6	0.00852272727272727
s8	CT8	154	0.21875
s8	NC1	4	0.00568181818181818
s8	NC2	21	0.0298295454545455
s8	NC3	33	0.046875
s8	NC4	19	0.0269886363636364
s8	NC5	34	0.0482954545454545
s8	NC6	83	0.117897727272727
s9	C1	15	0.0256849315068493
s9	C2	7	0.011986301369863
s9	C3	33	0.0565068493150685
s9	C4	23	0.0393835616438356
s9	C5	17	0.0291095890410959
s9	C6	85	0.145547945205479
s9	C7	37	0.0633561643835616
s9	C8	9	0.0154109589041096
s9	CT1	39	0.0667808219178082
s9	CT2	25	0.0428082191780822
s9	CT3	45	0.0770547945205479
s9	CT4	19	0.0325342465753425
s9	CT5	6	0.0102739726027397
s9	CT6	51	0.0873287671232877
s9	CT7	27	0.0462328767123288
s9	CT8	38	0.0650684931506849
s9	NC1	12	0.0205479452054795
s9	NC2	18	0.0308219178082192
s9	NC3	16	0.0273972602739726
s9	NC4	13	0.0222602739726027
s9	NC5	13	0.0222602739726027
s9	NC6	36	0.0616438356164384
