Stats	p_val_adj	Cluster	Marker
1.933686485	0	1: MAIT	TRAV1-2
1.623150468	0	1: MAIT	NCR3
1.210168812	0	1: MAIT	KLRG1
0.951965544	0	1: MAIT	SLC4A10
1.152962923	2.22E-241	1: MAIT	CEBPD
0.546343837	7.77E-235	1: MAIT	ZBTB16
0.595876306	4.59E-221	1: MAIT	IL23R
0.795030646	5.81E-221	1: MAIT	GZMK
0.622404537	1.12E-209	1: MAIT	EOMES
1.16538196	1.05E-205	1: MAIT	KLRB1
0.561983118	1.25E-191	1: MAIT	RORC
0.660326038	2.68E-159	1: MAIT	LST1
0.628480774	3.17E-155	1: MAIT	IL4I1
0.691608417	2.21E-136	1: MAIT	S100A4
1.128895958	4.80E-132	1: MAIT	DUSP2
1.269117837	1.45E-127	1: MAIT	NFKBIA
0.792827696	1.77E-123	1: MAIT	CTSW
0.836340077	7.90E-123	1: MAIT	DUSP1
0.503786694	1.50E-97	1: MAIT	DPP4
0.743003733	3.59E-92	1: MAIT	LTB
0.532503364	4.63E-88	1: MAIT	S100A6
0.588972758	1.76E-84	1: MAIT	SPOCK2
0.610701852	1.02E-76	1: MAIT	IFNGR1
0.436194822	3.27E-71	1: MAIT	IKZF2
0.786934518	3.22E-65	1: MAIT	CD69
0.693519258	4.93E-65	1: MAIT	CXCR4
0.374651454	1.05E-64	1: MAIT	PLEK
0.44353141	3.47E-64	1: MAIT	SAMD3
0.513072067	5.31E-63	1: MAIT	PRF1
0.570348637	8.12E-63	1: MAIT	GBP5
0.524073709	7.49E-52	1: MAIT	ZFP36L1
0.395994465	1.62E-51	1: MAIT	PHACTR2
0.571541364	2.07E-50	1: MAIT	LYST
0.735225636	3.95E-48	1: MAIT	BTG2
0.484844577	4.78E-48	1: MAIT	AQP3
0.489752596	3.67E-46	1: MAIT	GPR65
0.488132445	3.42E-44	1: MAIT	CCL4
0.455791093	6.79E-44	1: MAIT	SATB1
0.469299804	4.87E-43	1: MAIT	CTSA
0.36109706	4.57E-42	1: MAIT	HCST
0.789428208	8.09E-39	1: MAIT	IER2
0.336866399	9.49E-38	1: MAIT	IL18RAP
0.402124357	1.08E-37	1: MAIT	TNFRSF25
0.631753055	1.80E-37	1: MAIT	ZFP36
0.412558805	5.10E-37	1: MAIT	CMC1
0.40085629	2.69E-36	1: MAIT	MYBL1
0.558374594	2.25E-35	1: MAIT	MT2A
0.507675454	6.89E-35	1: MAIT	FOS
0.411366218	1.52E-34	1: MAIT	SH2D1A
0.758393697	3.31E-34	1: MAIT	JUN
0.408950118	5.41E-34	1: MAIT	CCDC107
0.468227988	7.82E-34	1: MAIT	JUNB
0.540896267	9.54E-34	1: MAIT	BHLHE40
0.366238591	2.43E-33	1: MAIT	CERK
0.710389997	1.66E-31	1: MAIT	PHLDA1
0.393985387	3.39E-30	1: MAIT	ZC3H12A
0.37912353	6.22E-30	1: MAIT	RORA
0.301042816	2.84E-29	1: MAIT	MT-ND3
0.351733299	1.48E-26	1: MAIT	LYAR
0.28099019	2.15E-25	1: MAIT	IL7R
0.348450947	7.35E-25	1: MAIT	ERN1
0.349650903	1.97E-24	1: MAIT	CD8A
0.328530003	1.63E-23	1: MAIT	MATK
0.308726361	2.28E-23	1: MAIT	TMIGD2
0.293934061	7.77E-23	1: MAIT	MAF
0.392297643	2.77E-22	1: MAIT	PPP1R15A
0.301223865	1.18E-21	1: MAIT	GYG1
0.432082872	7.36E-21	1: MAIT	NFKBIZ
0.316333829	1.35E-20	1: MAIT	IGFLR1
0.327420369	3.08E-20	1: MAIT	PNP
0.522096789	4.12E-20	1: MAIT	TNF
0.311285174	9.52E-20	1: MAIT	RAB18
0.298959939	2.12E-19	1: MAIT	PRNP
0.386545415	3.53E-19	1: MAIT	TNFAIP3
0.281411714	7.37E-19	1: MAIT	PDCD4
0.490936026	1.42E-18	1: MAIT	RGS2
0.347234377	1.66E-18	1: MAIT	JAML
0.340560455	3.80E-18	1: MAIT	LBH
0.295219359	3.86E-18	1: MAIT	TNFAIP8
0.283875791	4.71E-16	1: MAIT	CASP1
0.257228021	5.14E-16	1: MAIT	BTG1
0.294899712	1.82E-15	1: MAIT	CDC42EP3
0.261868949	2.14E-15	1: MAIT	GLRX
0.294032661	1.14E-14	1: MAIT	FKBP11
0.271154252	3.49E-14	1: MAIT	TC2N
0.271658371	4.33E-14	1: MAIT	LPCAT4
0.265584654	1.04E-13	1: MAIT	BZW1
0.270339461	3.05E-13	1: MAIT	EFHD2
0.294652307	4.53E-13	1: MAIT	NFKB1
0.279715311	4.62E-13	1: MAIT	SESN1
0.265316816	5.67E-13	1: MAIT	RPL22L1
0.276400097	7.97E-12	1: MAIT	GBP2
0.270776735	2.88E-11	1: MAIT	SNX9
0.270083419	9.00E-11	1: MAIT	AC020916.1
0.251736303	2.06E-10	1: MAIT	SQSTM1
0.300353814	5.98E-09	1: MAIT	RBPJ
0.384385086	7.66E-08	1: MAIT	RBKS
0.285477696	1.85E-05	1: MAIT	KMT2E-AS1
0.250353142	0.00029866	1: MAIT	SERTAD1
0.254025349	0.000431937	1: MAIT	DUSP5
0.617541308	0.00797331	1: MAIT	EGR1
0.930511726	0	2: T3 cytokine Trm	IL7R
0.857266996	0	2: T3 cytokine Trm	CCR6
0.833477333	0	2: T3 cytokine Trm	TNFSF13B
0.793029789	0	2: T3 cytokine Trm	CEBPD
0.784039252	0	2: T3 cytokine Trm	IL4I1
0.779432019	0	2: T3 cytokine Trm	CCL20
0.759318683	0	2: T3 cytokine Trm	LGALS3
0.757649655	0	2: T3 cytokine Trm	IL23R
0.744770466	0	2: T3 cytokine Trm	NFKBIA
0.666424744	0	2: T3 cytokine Trm	TNFAIP3
0.663634047	0	2: T3 cytokine Trm	FOSB
0.637060302	0	2: T3 cytokine Trm	KLRB1
0.59101166	0	2: T3 cytokine Trm	DUSP1
0.58313768	0	2: T3 cytokine Trm	AQP3
0.580295899	0	2: T3 cytokine Trm	S100A4
0.5718936	0	2: T3 cytokine Trm	CD40LG
0.568452162	0	2: T3 cytokine Trm	FOS
0.565133441	0	2: T3 cytokine Trm	TTC39C
0.515020214	0	2: T3 cytokine Trm	ANXA1
0.475760681	0	2: T3 cytokine Trm	RORC
0.472471017	0	2: T3 cytokine Trm	RORA
0.466983033	0	2: T3 cytokine Trm	DPP4
0.457566072	0	2: T3 cytokine Trm	LTB
0.453825572	0	2: T3 cytokine Trm	RPLP0
0.452472034	0	2: T3 cytokine Trm	IL2
0.450237575	0	2: T3 cytokine Trm	RPLP1
0.440779335	0	2: T3 cytokine Trm	S100A6
0.435979144	0	2: T3 cytokine Trm	ERN1
0.366256022	0	2: T3 cytokine Trm	TPT1
0.329397208	0	2: T3 cytokine Trm	EEF1G
0.294147168	0	2: T3 cytokine Trm	ITM2B
0.284777072	0	2: T3 cytokine Trm	EEF1A1
0.284071643	0	2: T3 cytokine Trm	EEF1B2
0.371748985	7.77E-272	2: T3 cytokine Trm	IFNGR1
0.342138522	8.82E-266	2: T3 cytokine Trm	VIM
0.367755501	2.79E-259	2: T3 cytokine Trm	SESN1
0.447555196	4.30E-259	2: T3 cytokine Trm	PNP
0.715888069	1.90E-258	2: T3 cytokine Trm	JUN
0.348099972	8.73E-253	2: T3 cytokine Trm	YWHAH
0.337794854	9.98E-253	2: T3 cytokine Trm	DYNLT3
0.449685638	8.18E-249	2: T3 cytokine Trm	MYADM
0.357242133	3.95E-244	2: T3 cytokine Trm	AC020571.1
0.354779641	1.15E-240	2: T3 cytokine Trm	MYBL1
0.352227738	1.03E-238	2: T3 cytokine Trm	YWHAQ
0.418027151	5.83E-233	2: T3 cytokine Trm	AC020916.1
0.385955575	8.75E-232	2: T3 cytokine Trm	PPP1R15A
0.354823692	2.39E-229	2: T3 cytokine Trm	MGAT4A
0.8010861	4.21E-208	2: T3 cytokine Trm	TNF
0.413174241	8.68E-205	2: T3 cytokine Trm	TSC22D3
0.29628959	1.11E-202	2: T3 cytokine Trm	S100A11
0.323206271	4.35E-197	2: T3 cytokine Trm	RBL2
0.290115767	2.75E-191	2: T3 cytokine Trm	TNFRSF25
0.300776699	2.23E-184	2: T3 cytokine Trm	PERP
0.361809489	9.81E-178	2: T3 cytokine Trm	KLF6
0.298151182	6.75E-174	2: T3 cytokine Trm	PDE4D
0.282702946	4.10E-168	2: T3 cytokine Trm	CERK
0.250704968	1.61E-165	2: T3 cytokine Trm	NCF4
0.275164819	2.74E-165	2: T3 cytokine Trm	FLT3LG
0.419864714	4.00E-159	2: T3 cytokine Trm	CD69
0.300836594	9.66E-159	2: T3 cytokine Trm	ARL4A
0.263116493	7.64E-158	2: T3 cytokine Trm	ANKRD28
0.255788328	6.84E-143	2: T3 cytokine Trm	OSTF1
0.265491665	1.04E-132	2: T3 cytokine Trm	AHR
0.436894775	2.94E-130	2: T3 cytokine Trm	NR4A1
0.350566141	1.10E-123	2: T3 cytokine Trm	RGS2
