Cluster	CD14	CD3E	CD3D	CD3G	CD68	Cluster_Size	Clonotype_Pct	km_cluster	is_TCell
c1	0.00503441071755647	14.9076973797314	7.21523433625108	3.42726495449206	0.0111693464377409	6445	0.982311869666408	2	TRUE
c2	0.00159622385595729	16.4368492042042	9.60695688954581	4.17420690095129	0.0261097434791672	5223	0.896036760482481	2	TRUE
c3	0.00509931151151981	14.3419280130582	8.5169761564501	3.65889995780495	0.0143447158556257	4964	0.969178082191781	2	TRUE
c4	0.00381364138004612	15.8218859103893	8.14488125580731	4.2009445867226	0.0312249901026417	4448	0.928057553956835	2	TRUE
c5	0.00292757305935461	18.5136490304498	12.4131233679388	5.57327022653262	0.0414205277339447	4393	0.933530616890508	2	TRUE
c6	0.00404594104224433	14.8793291671537	8.91194393133883	3.54109521859914	0.0270180365357304	4293	0.98206382483112	2	TRUE
c7	0.000810931499030969	17.4311945987595	13.3042039005312	4.88313823834402	0.00799524292255129	4091	0.816426301637741	2	TRUE
c8	0.00877922945760312	14.5557978469542	7.52326673951813	3.48093553725676	0.0137512150257314	3532	0.974518686296716	2	TRUE
c9	0.00279768702109744	16.0459186552283	9.76979219614106	4.81100070169008	0.0254927765412975	2959	0.555255153768165	2	TRUE
c10	0.000222310879801087	18.9982039522314	17.4455204953962	6.08755029013431	0.0158340281671412	2862	0.683787561146052	2	TRUE
c11	0.00268893022894941	15.1776094878431	10.9844075004241	4.98224553974664	0.0493894933556031	2767	0.282977954463318	2	TRUE
c12	0.00757090040993196	14.7285837697764	7.65056464699011	3.12664172596821	0.00439523877903867	2565	0.97270955165692	2	TRUE
c13	0.00216002848923463	15.0700437374981	10.9053061965408	3.55216070534646	0.0143635054325349	2440	0.809426229508197	2	TRUE
c14	0.00101477615560172	16.6164721827563	11.2368856158096	3.61082254842122	0.00902346613673082	2366	0.944632290786137	2	TRUE
c15	0	21.0192510154699	13.6225409130044	5.61130880097704	0.0193255638491865	2213	0.77541798463624	2	TRUE
c16	0.00532181709014991	12.8596817730929	7.86448235708594	3.1960604122319	0.00949874458264017	2022	0.968348170128586	2	TRUE
c17	0.000989608231745303	12.1372609704262	9.96982904054959	3.7420523791257	0.0277018547333757	1807	0.716104039845047	2	TRUE
c18	0.00279702774081939	12.1949679810839	6.68241354062452	3.11399241338974	0.00696566624981038	1724	0.967517401392111	2	TRUE
c19	0.00423972386797408	15.776038331094	12.5025286883451	3.76133926178591	0.0158634292787816	1634	0.940636474908201	2	TRUE
c20	0.0011700163650189	17.2199190427153	12.0008480291674	4.68546784365952	0.0127415455240606	1443	0.894663894663895	2	TRUE
c21	0.000929444081731681	12.7332221583438	11.2483266957163	4.25578815136569	0.0165825093881613	1429	0.737578726382085	2	TRUE
c22	0.00111798958351641	15.5474783877878	9.8230777890617	4.28679400600412	0.0245280417820054	1123	0.58860195903829	2	TRUE
c23	0	18.4858226212167	11.8230552588016	4.52648634352297	0.0833568396264867	881	0.911464245175936	2	TRUE
c24	0.00157278329955781	12.9333193563336	7.54832371308167	2.77322744322212	0.0274380700792068	761	0.827858081471748	2	TRUE
c25	0.00335188152841775	13.6562920117346	7.94296081609685	3.17220386809443	0.00728076527899594	437	0.929061784897025	2	TRUE
c26	0.00121754986110191	0.862547895859077	0.558865808441848	0.218728018633011	0.0200135388636342	352	0.204545454545455	1	FALSE
c27	15.4406105704716	1.27262592151577	0.981029765755273	0.390464068330336	11.8163327293694	351	0.168091168091168	1	FALSE
c28	0.0013081919766493	13.049222756004	10.6363886098044	4.31256360534471	0.078223219636113	317	0.520504731861199	2	TRUE
c29	0	13.5998653205367	9.93038292598322	6.43404665578204	0	242	0.462809917355372	2	TRUE
c30	0	1.60604675949805	1.07465712749584	0.300826249864594	0.173932304624818	82	0.158536585365854	1	FALSE
c31	0.0973674296107329	1.15126369381504	0.768111538995509	0.295349247970162	0.482410217964586	72	0.0972222222222222	1	FALSE
