Diagnosis	Sample	seurat_clusters	.n	.frac
Colitis	C1	c1	173	0.0546430827542641
Colitis	C1	c2	74	0.0233733417561592
Colitis	C1	c3	1334	0.421351863550221
Colitis	C1	c4	200	0.0631711939355654
Colitis	C1	c5	143	0.0451674036639292
Colitis	C1	c6	43	0.0135818066961466
Colitis	C1	c7	174	0.0549589387239419
Colitis	C1	c8	110	0.034744156664561
Colitis	C1	c9	324	0.102337334175616
Colitis	C1	c10	272	0.0859128237523689
Colitis	C1	c11	99	0.0312697409981049
Colitis	C1	c12	125	0.0394819962097284
Colitis	C1	c13	29	0.00915982312065698
Colitis	C1	c14	33	0.0104232469993683
Colitis	C1	c15	9	0.00284270372710044
Colitis	C1	c16	1	0.000315855969677827
Colitis	C1	c17	5	0.00157927984838913
Colitis	C1	c18	18	0.00568540745420088
Colitis	C2	c1	88	0.0228097459823743
Colitis	C2	c2	70	0.0181441161223432
Colitis	C2	c3	1343	0.348107827890098
Colitis	C2	c4	76	0.0196993260756869
Colitis	C2	c5	282	0.073094867807154
Colitis	C2	c6	58	0.0150336962156558
Colitis	C2	c7	413	0.107050285121825
Colitis	C2	c8	73	0.018921721099015
Colitis	C2	c9	626	0.162260238465526
Colitis	C2	c10	612	0.158631415241058
Colitis	C2	c11	56	0.0145152928978745
Colitis	C2	c12	46	0.0119232763089684
Colitis	C2	c13	11	0.00285121824779679
Colitis	C2	c14	60	0.015552099533437
Colitis	C2	c15	24	0.00622083981337481
Colitis	C2	c16	2	0.000518403317781234
Colitis	C2	c17	5	0.00129600829445308
Colitis	C2	c18	12	0.0031104199066874
Colitis	C2	c19	1	0.000259201658890617
Colitis	C3	c1	287	0.0712512413108242
Colitis	C3	c2	212	0.0526315789473684
Colitis	C3	c3	109	0.0270605759682224
Colitis	C3	c4	344	0.0854021847070506
Colitis	C3	c5	293	0.0727408142999007
Colitis	C3	c6	197	0.0489076464746773
Colitis	C3	c7	225	0.0558589870903674
Colitis	C3	c8	108	0.0268123138033764
Colitis	C3	c9	489	0.121400198609732
Colitis	C3	c10	157	0.0389771598808342
Colitis	C3	c11	290	0.0719960278053625
Colitis	C3	c12	129	0.032025819265144
Colitis	C3	c13	1095	0.271847070506455
Colitis	C3	c14	44	0.0109235352532274
Colitis	C3	c15	5	0.00124131082423039
Colitis	C3	c16	2	0.000496524329692155
Colitis	C3	c17	8	0.00198609731876862
Colitis	C3	c18	23	0.00571002979145978
Colitis	C3	c19	4	0.00099304865938431
Colitis	C3	c20	7	0.00173783515392254
Colitis	C4	c1	469	0.14950589735416
Colitis	C4	c2	125	0.0398469875677399
Colitis	C4	c3	71	0.0226330889384763
Colitis	C4	c4	312	0.0994580809690787
Colitis	C4	c5	304	0.0969078737647434
Colitis	C4	c6	184	0.0586547656997131
Colitis	C4	c7	365	0.1163532036978
Colitis	C4	c8	119	0.0379343321644884
Colitis	C4	c9	323	0.10296461587504
Colitis	C4	c10	504	0.160663053873127
Colitis	C4	c11	179	0.0570608861970035
Colitis	C4	c12	22	0.00701306981192222
Colitis	C4	c13	19	0.00605674211029646
Colitis	C4	c14	111	0.035384124960153
Colitis	C4	c15	9	0.00286898310487727
Colitis	C4	c16	1	0.000318775900541919
Colitis	C4	c17	8	0.00255020720433535
Colitis	C4	c18	8	0.00255020720433535
Colitis	C4	c19	3	0.000956327701625757
Colitis	C4	c20	1	0.000318775900541919
Colitis	C5	c1	186	0.0472560975609756
Colitis	C5	c2	133	0.0337906504065041
Colitis	C5	c3	1853	0.470782520325203
Colitis	C5	c4	47	0.0119410569105691
Colitis	C5	c5	268	0.0680894308943089
Colitis	C5	c6	63	0.0160060975609756
Colitis	C5	c7	330	0.0838414634146342
Colitis	C5	c8	94	0.0238821138211382
Colitis	C5	c9	261	0.0663109756097561
Colitis	C5	c10	294	0.0746951219512195
Colitis	C5	c11	165	0.0419207317073171
Colitis	C5	c12	28	0.00711382113821138
Colitis	C5	c13	28	0.00711382113821138
Colitis	C5	c14	40	0.0101626016260163
Colitis	C5	c15	49	0.0124491869918699
Colitis	C5	c16	10	0.00254065040650406
Colitis	C5	c17	56	0.0142276422764228
Colitis	C5	c18	30	0.00762195121951219
Colitis	C5	c19	1	0.000254065040650407
Colitis	C6	c1	706	0.243616287094548
Colitis	C6	c2	327	0.112836438923395
Colitis	C6	c3	35	0.0120772946859903
Colitis	C6	c4	86	0.0296756383712905
Colitis	C6	c5	580	0.200138026224983
Colitis	C6	c6	159	0.0548654244306418
Colitis	C6	c7	155	0.0534851621808144
Colitis	C6	c8	144	0.0496894409937888
Colitis	C6	c9	235	0.0810904071773637
Colitis	C6	c10	159	0.0548654244306418
Colitis	C6	c11	117	0.0403726708074534
Colitis	C6	c12	54	0.0186335403726708
Colitis	C6	c13	5	0.00172532781228433
Colitis	C6	c14	62	0.0213940648723257
Colitis	C6	c15	32	0.0110420979986197
Colitis	C6	c16	25	0.00862663906142167
Colitis	C6	c17	8	0.00276052449965493
Colitis	C6	c18	5	0.00172532781228433
Colitis	C6	c20	4	0.00138026224982747
Control	CT1	c1	499	0.141439909297052
Control	CT1	c2	401	0.113662131519274
Control	CT1	c3	7	0.00198412698412698
Control	CT1	c4	835	0.236678004535147
Control	CT1	c5	195	0.0552721088435374
Control	CT1	c6	361	0.102324263038549
Control	CT1	c7	257	0.0728458049886621
Control	CT1	c8	524	0.148526077097506
Control	CT1	c9	30	0.00850340136054422
Control	CT1	c10	15	0.00425170068027211
Control	CT1	c11	114	0.032312925170068
Control	CT1	c12	170	0.0481859410430839
Control	CT1	c13	1	0.000283446712018141
Control	CT1	c14	24	0.00680272108843537
Control	CT1	c15	52	0.0147392290249433
Control	CT1	c16	9	0.00255102040816327
Control	CT1	c17	10	0.00283446712018141
