Diagnosis	Sample	seurat_clusters	.n	.frac
Colitis	C1	c1	173	0.054764165875277
Colitis	C1	c2	82	0.0259575815131371
Colitis	C1	c3	1383	0.437796771130104
Colitis	C1	c4	202	0.0639442861665084
Colitis	C1	c5	127	0.0402025957581513
Colitis	C1	c6	49	0.01551123773346
Colitis	C1	c7	165	0.0522317188983856
Colitis	C1	c8	219	0.0693257359924027
Colitis	C1	c9	108	0.0341880341880342
Colitis	C1	c10	296	0.0937005381449826
Colitis	C1	c11	296	0.0937005381449826
Colitis	C1	c12	34	0.0107628996517885
Colitis	C1	c13	8	0.00253244697689142
Colitis	C1	c14	1	0.000316555872111428
Colitis	C1	c15	16	0.00506489395378284
Colitis	C2	c1	82	0.0212987012987013
Colitis	C2	c2	75	0.0194805194805195
Colitis	C2	c3	1393	0.361818181818182
Colitis	C2	c4	82	0.0212987012987013
Colitis	C2	c5	271	0.0703896103896104
Colitis	C2	c6	64	0.0166233766233766
Colitis	C2	c7	402	0.104415584415584
Colitis	C2	c8	100	0.025974025974026
Colitis	C2	c9	72	0.0187012987012987
Colitis	C2	c10	624	0.162077922077922
Colitis	C2	c11	583	0.151428571428571
Colitis	C2	c12	61	0.0158441558441558
Colitis	C2	c13	22	0.00571428571428571
Colitis	C2	c15	19	0.00493506493506494
Colitis	C3	c1	301	0.0751560549313358
Colitis	C3	c2	214	0.0534332084893883
Colitis	C3	c3	1196	0.298626716604245
Colitis	C3	c4	346	0.0863920099875156
Colitis	C3	c5	275	0.0686641697877653
Colitis	C3	c6	190	0.0474406991260924
Colitis	C3	c7	233	0.0581772784019975
Colitis	C3	c8	414	0.103370786516854
Colitis	C3	c9	106	0.0264669163545568
Colitis	C3	c10	171	0.0426966292134831
Colitis	C3	c11	468	0.11685393258427
Colitis	C3	c12	49	0.0122347066167291
Colitis	C3	c13	5	0.00124843945068664
Colitis	C3	c14	15	0.00374531835205993
Colitis	C3	c15	22	0.00549313358302122
Colitis	C4	c1	458	0.146606914212548
Colitis	C4	c2	135	0.043213828425096
Colitis	C4	c3	89	0.0284891165172855
Colitis	C4	c4	310	0.0992317541613316
Colitis	C4	c5	286	0.0915492957746479
Colitis	C4	c6	197	0.0630601792573624
Colitis	C4	c7	365	0.116837387964149
Colitis	C4	c8	193	0.0617797695262484
Colitis	C4	c9	116	0.0371318822023047
Colitis	C4	c10	523	0.16741357234315
Colitis	C4	c11	300	0.0960307298335467
Colitis	C4	c12	106	0.0339308578745198
Colitis	C4	c13	10	0.00320102432778489
Colitis	C4	c14	25	0.00800256081946223
Colitis	C4	c15	11	0.00352112676056338
Colitis	C5	c1	186	0.0480744378392349
Colitis	C5	c2	134	0.0346342724218144
Colitis	C5	c3	1900	0.491082967174981
Colitis	C5	c4	58	0.0149909537348152
Colitis	C5	c5	252	0.0651331093305764
Colitis	C5	c6	68	0.017575600930473
Colitis	C5	c7	327	0.0845179632980098
Colitis	C5	c8	198	0.0511760144740243
Colitis	C5	c9	92	0.0237787542000517
Colitis	C5	c10	279	0.0721116567588524
Colitis	C5	c11	248	0.0640992504523133
Colitis	C5	c12	39	0.0100801240630654
Colitis	C5	c13	49	0.0126647712587232
Colitis	C5	c14	6	0.00155078831739468
Colitis	C5	c15	33	0.00852933574567072
Colitis	C6	c1	677	0.236630548759175
Colitis	C6	c2	425	0.148549458231388
Colitis	C6	c3	46	0.0160782943026914
Colitis	C6	c4	88	0.0307584760573226
Colitis	C6	c5	485	0.169521146452289
Colitis	C6	c6	169	0.05907025515554
Colitis	C6	c7	159	0.0555749737853897
Colitis	C6	c8	170	0.0594197832925551
Colitis	C6	c9	154	0.0538273331003146
Colitis	C6	c10	165	0.0576721426074799
Colitis	C6	c11	208	0.0727018524991262
Colitis	C6	c12	51	0.0178259349877665
Colitis	C6	c13	30	0.0104858441104509
Colitis	C6	c14	26	0.00908773156239077
Colitis	C6	c15	8	0.00279622509612024
Colitis	C7	c1	826	0.242157725007329
Colitis	C7	c2	379	0.111111111111111
Colitis	C7	c3	167	0.048959249486954
Colitis	C7	c4	111	0.0325417766051011
Colitis	C7	c5	273	0.0800351802990325
Colitis	C7	c6	319	0.0935209615948402
Colitis	C7	c7	400	0.117267663441806
Colitis	C7	c8	144	0.0422163588390501
Colitis	C7	c9	36	0.0105540897097625
Colitis	C7	c10	376	0.110231603635298
Colitis	C7	c11	295	0.0864849017883319
Colitis	C7	c12	40	0.0117267663441806
Colitis	C7	c13	27	0.0079155672823219
Colitis	C7	c14	16	0.00469070653767224
Colitis	C7	c15	2	0.00058633831720903
Colitis	C8	c1	285	0.0840212264150943
Colitis	C8	c2	44	0.0129716981132075
Colitis	C8	c3	302	0.0890330188679245
Colitis	C8	c4	14	0.00412735849056604
Colitis	C8	c5	184	0.0542452830188679
Colitis	C8	c6	105	0.0309551886792453
Colitis	C8	c7	334	0.0984669811320755
Colitis	C8	c8	335	0.0987617924528302
Colitis	C8	c9	161	0.0474646226415094
Colitis	C8	c10	1107	0.326356132075472
Colitis	C8	c11	431	0.127063679245283
Colitis	C8	c12	49	0.0144457547169811
Colitis	C8	c13	4	0.00117924528301887
Colitis	C8	c15	37	0.0109080188679245
Control	CT1	c1	505	0.144409493851873
Control	CT1	c2	400	0.114383757506434
Control	CT1	c3	10	0.00285959393766085
Control	CT1	c4	843	0.24106376894481
Control	CT1	c5	184	0.0526165284529597
Control	CT1	c6	371	0.106090935087218
Control	CT1	c7	241	0.0689162138976265
Control	CT1	c8	287	0.0820703460108665
Control	CT1	c9	526	0.150414641120961
Control	CT1	c10	12	0.00343151272519302
Control	CT1	c11	20	0.0057191878753217
Control	CT1	c12	26	0.00743494423791822
Control	CT1	c13	49	0.0140120102945382
Control	CT1	c14	10	0.00285959393766085
Control	CT1	c15	13	0.00371747211895911
Control	CT2	c1	670	0.269726247987118
Control	CT2	c2	303	0.121980676328502
Control	CT2	c4	220	0.0885668276972625
Control	CT2	c5	104	0.0418679549114332
